Title,Channel,View,Like,Dislike,Comment,Published,UploadYear,Category
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),KatyPerryVEVO,1347972076,"58,16,490","4,01,241","4,19,028",12-06-2011,2011,Musical
Pollito Amarillito ORIGINAL - Gallina Pintadita 1 - Oficial - Canciones infantiles,Gallina Pintadita,1324147028,"23,86,689","14,78,087","26,998",10-08-2011,2011,Non-Musical
One Direction - What Makes You Beautiful (Official Video),OneDirectionVEVO,1273048532,"93,05,043","4,78,814","11,38,096",19-08-2011,2011,Musical
Mariposita ORIGINAL - Gallina Pintadita 2 - Oficial - Canciones infantiles para niños y bebés,Gallina Pintadita,1220555512,"28,70,871","16,79,961","11,570",18-08-2011,2011,Non-Musical
3yo William Diving down to get his 'Toypedo' torpedo,STWill2011,1153336493,"18,08,440","9,61,637",NULL,09-04-2011,2011,Non-Musical
Pitbull - Rain Over Me ft. Marc Anthony,PitbullVEVO,1098433891,"36,18,462","1,56,783","1,70,301",22-07-2011,2011,Musical
4 Non Blondes - What's Up (Official Music Video),4NonBlondesVEVO,1087933460,"46,93,354","2,32,269","1,55,998",23-02-2011,2011,Musical
Michel Teló - Ai Se Eu Te Pego - Video Oficial (Assim você me mata),Michel Teló,1004053063,3900000,222000,335000,25-07-2011,2011,Musical
Маша и Медведь (Masha and The Bear) - Маша плюс каша (17 Серия),Get Movies,4440617686,"75,98,426","41,93,900","11,444",31-01-2012,2012,Non-Musical
PSY - GANGNAM STYLE(강남스타일) M/V,officialpsy,4094903877,"2,19,13,239","27,72,924","52,51,038",15-07-2012,2012,Musical
Passenger | Let Her Go (Official Video),Passenger,3009749991,"1,28,16,175","3,79,334","4,09,151",25-07-2012,2012,Musical
Rihanna - Diamonds,RihannaVEVO,1748542401,"83,01,920","3,56,752","3,70,872",09-11-2012,2012,Musical
"Sesame Street: Healthy Teeth, Healthy Me: Brushy Brush PSA",Sesame Street,1626622370,"41,62,035","28,97,763","13,105",01-03-2012,2012,Non-Musical
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),Macklemore LLC,1577830837,"1,02,20,362","3,54,261","5,05,866",29-08-2012,2012,Musical
PULCINO PIO - El Pollito Pio (Official video),PULCINO PIO,1418409405,"35,26,114","11,87,705","1,31,320",29-11-2012,2012,Musical
Маша и Медведь (Masha and The Bear) - Приятного аппетита (24 Серия),Get Movies,1412598847,"19,94,240","10,81,798","1,163",21-09-2012,2012,Non-Musical
Carly Rae Jepsen - Call Me Maybe,CarlyRaeJepsenVEVO,1361737127,"70,72,488","3,47,000","6,14,880",01-03-2012,2012,Musical
Imagine Dragons - Radioactive,ImagineDragonsVEVO,1290363181,"82,08,174","2,42,447","3,35,427",10-12-2012,2012,Musical
Dona Aranha - Galinha Pintadinha 3 - OFICIAL,Galinha Pintadinha,1259466173,"32,55,336","20,23,728","10,843",18-07-2012,2012,Non-Musical
Маша и Медведь (Masha and The Bear) - Большая стирка (18 Серия),Get Movies,1254965545,"17,68,195","10,06,849",765,31-01-2012,2012,Non-Musical
Daddy Yankee - Limbo (Video Oficial),DaddyYankeeVEVO,1114662294,"37,56,790","2,04,625","1,41,856",27-10-2012,2012,Musical
Katy Perry - Roar (Official),KatyPerryVEVO,3370773515,"1,35,06,741","9,87,354","7,39,410",05-09-2013,2013,Musical
OneRepublic - Counting Stars (Official Music Video),OneRepublicVEVO,3321795266,"1,37,85,991","4,29,537","4,42,562",31-05-2013,2013,Musical
Old MacDonald Had a Farm - Kids nursery rhymes,Bounce Patrol - Kids Songs,2368765688,"70,54,247","53,55,205","10,243",12-11-2013,2013,Non-Musical
Avicii - Wake Me Up (Official Video),AviciiOfficialVEVO,2071921246,"1,01,49,735","2,98,131","6,14,660",29-07-2013,2013,Musical
MAGIC! - Rude (Official Video),ournameismagicVEVO,2065787665,"91,39,865","3,21,881","2,32,985",06-12-2013,2013,Musical
John Legend - All of Me (Official Video),johnlegendVEVO,1944888072,"1,05,92,284","3,20,880","2,30,627",02-10-2013,2013,Musical
Romeo Santos - Propuesta Indecente (Official Video),RomeoSantosVEVO,1760124756,"41,54,631","3,00,998","1,23,066",09-09-2013,2013,Musical
Martin Garrix - Animals (Official Video),Spinnin' Records,1500890178,"99,62,597","3,33,926","3,25,820",17-06-2013,2013,Musical
Ellie Goulding - Burn (Official Video),EllieGouldingVEVO,1457975578,"53,84,704","1,83,264","1,80,768",07-07-2013,2013,Musical
PSY - GENTLEMAN M/V,officialpsy,1409779244,"69,25,580","9,29,854","9,75,199",13-04-2013,2013,Musical
Pitbull - Timber ft. Ke$ha,PitbullVEVO,1301446049,"48,65,457","2,51,351","1,51,478",25-11-2013,2013,Musical
P!nk - Just Give Me A Reason ft. Nate Ruess,PinkVEVO,1295816621,"53,71,022","1,98,610","1,55,561",05-02-2013,2013,Musical
Prince Royce - Darte un Beso,PrinceRoyceVEVO,1238906945,"38,28,746","2,06,380","1,48,064",20-08-2013,2013,Musical
Eminem - Rap God (Explicit),EminemVEVO,1233323340,"1,62,60,864","4,82,519","11,74,209",27-11-2013,2013,Musical
Finger Family Collection - 7 Finger Family Songs - Daddy Finger Nursery Rhymes,Videogyan Nursery Rhymes - Kids Songs & Cartoons,1222652966,NULL,NULL,"37,956",30-10-2013,2013,Non-Musical
Arctic Monkeys - Do I Wanna Know? (Official Video),Official Arctic Monkeys,1182638281,"67,74,709","1,85,814","1,45,091",19-06-2013,2013,Musical
Miley Cyrus - Wrecking Ball (Official Video),MileyCyrusVEVO,1121234378,"62,68,172","16,12,520","10,96,246",09-09-2013,2013,Musical
Pharrell Williams - Happy (Official Music Video),iamOTHER,1099169359,"47,72,096","2,53,027","1,61,538",22-11-2013,2013,Musical
Naughty Boy - La la la ft. Sam Smith (Official Video),NaughtyBoyVEVO,1093694457,"61,48,953","3,55,753","3,25,561",18-04-2013,2013,Musical
"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)",David Guetta,1056060303,"33,56,483","1,75,005","1,17,460",22-04-2013,2013,Musical
Bruno Mars - When I Was Your Man (Official Music Video),Bruno Mars,1035761619,"53,48,116","1,37,662","1,80,141",05-02-2013,2013,Musical
Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],discovery plus Norge,1014334052,"78,08,334","7,93,753","9,84,262",03-09-2013,2013,Musical
Marc Anthony - Vivir Mi Vida (Official Video),marcanthonyVEVO,1014281677,"25,69,083","1,96,041","79,570",10-09-2013,2013,Musical
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,MarkRonsonVEVO,4206255682,"1,67,75,020","9,54,056","5,69,149",19-11-2014,2014,Musical
Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children,ChuChu TV Nursery Rhymes & Kids Songs,3937470290,NULL,NULL,425,06-03-2014,2014,Non-Musical
Ed Sheeran - Thinking Out Loud (Official Music Video),Ed Sheeran,3274015668,"1,27,70,847","5,40,644","3,45,427",07-10-2014,2014,Musical
Katy Perry - Dark Horse (Official) ft. Juicy J,KatyPerryVEVO,3088777637,"1,34,24,850","12,98,314","7,65,331",20-02-2014,2014,Musical
Taylor Swift - Shake It Off,TaylorSwiftVEVO,3067472589,"1,06,58,441","10,29,943","5,58,655",18-08-2014,2014,Musical
"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)",EnriqueIglesiasVEVO,3048131197,"83,73,535","5,47,287","2,51,831",11-04-2014,2014,Musical
Taylor Swift - Blank Space,TaylorSwiftVEVO,2802067565,"1,18,67,930","7,21,243","6,08,279",10-11-2014,2014,Musical
FROZEN | Let It Go Sing-along | Official Disney UK,Disney UK,2503181557,"64,06,546","15,61,979","1,88,458",30-01-2014,2014,Non-Musical
Meghan Trainor - All About That Bass,MeghanTrainorVEVO,2456312798,"85,50,116","8,76,797","4,89,072",11-06-2014,2014,Musical
Wheels On The Bus | Nursery Rhymes for Babies | Learn with Little Baby Bum | ABCs and 123s,Little Baby Bum - Nursery Rhymes & Kids Songs,2398738218,NULL,NULL,"2,938",09-08-2014,2014,Non-Musical
Sia - Chandelier (Official Video),SiaVEVO,2396665192,"1,09,78,292","5,98,119","5,63,022",06-05-2014,2014,Musical
I WANT SUMO | Doritos Commercial,bbosley,1837425366,"32,34,090","15,74,869","41,101",07-11-2014,2014,Non-Musical
Johny Johny Yes Papa and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV,ChuChu TV Nursery Rhymes & Kids Songs,1826153385,NULL,NULL,NULL,14-11-2014,2014,Non-Musical
J. Balvin - Ay Vamos (Official Video),jbalvinVEVO,1783081834,"46,89,125","2,97,757","1,27,566",29-08-2014,2014,Musical
"Jessie J, Ariana Grande, Nicki Minaj - Bang Bang (Official Video)",JessieJVEVO,1686151582,"90,82,393","4,15,721","2,67,388",26-08-2014,2014,Musical
ChuChu TV Numbers Song - NEW Short Version - Number Rhymes For Children,ChuChu TV Nursery Rhymes & Kids Songs,1513765426,NULL,NULL,552,21-08-2014,2014,Non-Musical
Calvin Harris - Summer (Official Video),CalvinHarrisVEVO,1472680452,"51,67,097","1,98,847","1,20,640",06-04-2014,2014,Musical
El Gallo y la Pata - Canciones de la Granja de Zenón 2,El Reino Infantil,1394456233,"32,31,626","20,53,507","6,378",15-03-2014,2014,Musical
Sam Smith - I'm Not The Only One (Official Video),SamSmithVEVO,1368425597,"53,25,630","1,85,722","1,30,648",01-08-2014,2014,Non-Musical
Ariana Grande ft. Iggy Azalea - Problem (Official Video),ArianaGrandeVevo,1291515332,"62,29,034","3,28,857","2,86,072",30-05-2014,2014,Musical
AronChupa - I'm an Albatraoz | OFFICIAL VIDEO,AronChupaVEVO,1251839654,"93,43,031","3,27,264","2,64,981",13-10-2014,2014,Musical
La Vaca Lola - Canciones de La Granja de Zenón 2,El Reino Infantil,1236278565,"31,34,964","18,11,322","23,735",12-04-2014,2014,Musical
Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,shakiraVEVO,1174048830,"55,61,137","3,32,926","2,64,651",22-05-2014,2014,Musical
Mascha und der Bär - Folge 2: Das Mascha Speziale,EUROPA Kinderprogramm,1172874072,"20,77,626","13,44,680",NULL,15-07-2014,2014,Non-Musical
ABC SONG | ABC Songs for Children - 13 Alphabet Songs & 26 Videos,Cocomelon - Nursery Rhymes,1136319384,"15,78,965","8,91,607","13,655",01-05-2014,2014,Non-Musical
Shakira - Can't Remember to Forget You (Official Video) ft. Rihanna,shakiraVEVO,1128794574,"52,42,618","3,34,103","2,52,198",31-01-2014,2014,Musical
Rahat Fateh Ali Khan - Zaroori Tha,RahatFAKhanVEVO,1110384055,"53,16,411","5,51,555","2,81,041",09-06-2014,2014,Musical
Ariana Grande - Break Free ft. Zedd,ArianaGrandeVevo,1102350314,"54,81,016","3,40,149","3,18,319",13-08-2014,2014,Musical
J Balvin - 6 AM ft. Farruko (Official Video),jbalvinVEVO,1099594447,"23,66,185","1,38,624","61,484",04-04-2014,2014,Musical
Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís,EnriqueIglesiasVEVO,1089941266,"32,83,328","1,87,010","91,882",20-01-2014,2014,Musical
Sam Smith - Stay With Me (Official Video),SamSmithVEVO,1088297303,"48,39,445","1,62,177","1,24,287",28-03-2014,2014,Musical
"Chris Brown - Loyal (Official Video) ft. Lil Wayne, Tyga",ChrisBrownVEVO,1087553555,"43,48,520","2,32,650","1,44,444",24-03-2014,2014,Musical
Los Ángeles Azules - Mis Sentimientos ft. Ximena Sariñana (Live),LosAngelesAzulesVEVO,1057241660,"16,66,880","2,15,659","64,013",01-08-2014,2014,Musical
"DJ Snake, Lil Jon - Turn Down for What",DJSnakeVEVO,1048067392,"88,09,421","5,72,075","3,92,675",14-03-2014,2014,Musical
Travesuras - Nicky Jam | Video Oficial,NickyJamTV,1047837521,"22,95,655","1,76,312","63,388",03-07-2014,2014,Musical
Iggy Azalea - Fancy ft. Charli XCX (Official Music Video),iggyazaleamusicVEVO,1043333303,"50,65,157","3,43,544","2,50,209",04-03-2014,2014,Musical
Five Little Ducks | Learn with Little Baby Bum | Nursery Rhymes for Babies | ABCs and 123s,Little Baby Bum - Nursery Rhymes & Kids Songs,1020846807,"12,12,181","7,71,321","4,396",24-10-2014,2014,Non-Musical
Nicki Minaj - Anaconda,NickiMinajAtVEVO,1014311030,"59,66,003","17,18,090","8,03,269",20-08-2014,2014,Musical
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,5146686202,"3,44,24,949","9,81,088","21,04,241",07-04-2015,2015,Musical
Maroon 5 - Sugar (Official Music Video),Maroon5VEVO,3489441142,"1,35,03,401","5,59,287","4,03,293",14-01-2015,2015,Musical
Justin Bieber - Sorry (PURPOSE : The Movement),JustinBieberVEVO,3443029814,"1,43,15,330","16,71,467","8,59,514",22-10-2015,2015,Musical
Alan Walker - Faded,Alan Walker,3083999955,"2,32,79,104","6,08,892","12,24,461",04-12-2015,2015,Musical
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),Major Lazer Official,3052849027,"1,42,11,410","5,86,525","4,36,447",23-03-2015,2015,Musical
Adele - Hello,AdeleVEVO,2846280923,"1,67,69,042","8,72,484","9,23,273",23-10-2015,2015,Musical
twenty one pilots: Stressed Out [OFFICIAL VIDEO],Fueled By Ramen,2322208671,"1,54,92,123","5,01,321","6,10,700",28-04-2015,2015,Musical
Ellie Goulding - Love Me Like You Do (Official Video),EllieGouldingVEVO,2201160229,"1,10,87,107","4,24,865","2,80,809",22-01-2015,2015,Musical
Justin Bieber - What Do You Mean? (Official Music Video),JustinBieberVEVO,2154981259,"95,57,680","11,68,445","5,20,609",31-08-2015,2015,Musical
Fifth Harmony - Worth It (Official Video) ft. Kid Ink,FifthHarmonyVEVO,1980460139,"96,78,569","4,53,091","3,33,774",28-03-2015,2015,Musical
Silentó - Watch Me (Whip/Nae Nae) (Official),SilentoVEVO,1815906875,"97,42,045","10,24,773","4,55,852",25-06-2015,2015,Musical
Drake - Hotline Bling,DrakeVEVO,1748528640,"92,35,037","6,65,702","4,28,069",26-10-2015,2015,Musical
The Weeknd - The Hills (Official Video),TheWeekndVEVO,1686552518,"98,75,905","3,79,023","2,96,192",27-05-2015,2015,Musical
Justin Bieber - Love Yourself (Official Music Video),JustinBieberVEVO,1610776123,"73,84,852","5,01,959","2,49,807",14-11-2015,2015,Musical
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",David Guetta,1463304890,"67,09,093","2,93,935","1,55,161",19-05-2015,2015,Musical
Calvin Harris & Disciples - How Deep Is Your Love,CalvinHarrisVEVO,1451459899,"50,80,376","2,26,419","1,26,841",06-08-2015,2015,Musical
Taylor Swift - Bad Blood ft. Kendrick Lamar,TaylorSwiftVEVO,1439672244,"81,19,106","5,64,985","4,57,298",18-05-2015,2015,Musical
Surprise Eggs Nursery Rhymes | Old MacDonald Had A Farm | Learn Colours & Farm Animals | ChuChu TV,ChuChu TV Nursery Rhymes & Kids Songs,1369158547,"25,40,717","19,63,265",813,22-09-2015,2015,Non-Musical
Shawn Mendes - Stitches (Official Video),ShawnMendesVEVO,1362105199,"98,69,498","2,91,043","4,22,424",25-06-2015,2015,Musical
Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony,GenteDeZonaVEVO,1341654973,"30,13,017","1,96,495","1,47,257",05-06-2015,2015,Musical
21. El Perdón - Nicky Jam y Enrique Iglesias [Official Music Video YTMAs],NickyJamTV,1333457815,"37,98,192","2,07,848","95,283",23-03-2015,2015,Musical
Joey Montana - Picky,JoeyMontanaVEVO,1283857427,"34,38,454","3,77,214","2,15,782",29-06-2015,2015,Musical
Ricky Martin - La Mordidita (Official Video) ft. Yotuel,RickyMartinVEVO,1214642800,"21,99,405","2,23,799","66,097",12-06-2015,2015,Musical
Coldplay - Adventure Of A Lifetime (Official Video),Coldplay,1194465886,"45,81,686","2,60,627","1,48,160",29-11-2015,2015,Musical
The Weeknd - Can't Feel My Face (Official Video),TheWeekndVEVO,1190947217,"57,09,728","2,13,809","1,88,965",29-07-2015,2015,Musical
Ten Little Buses - From Wheels On The Bus | Little Baby Bum - Nursery Rhymes for Kids,Little Baby Bum - Nursery Rhymes & Kids Songs,1185436678,"31,41,912","27,23,614",78,20-05-2015,2015,Non-Musical
"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)",Jack Ü,1180269410,"55,97,675","3,44,674","3,07,230",29-06-2015,2015,Musical
Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),SiaVEVO,1167269120,"46,28,235","3,25,736","2,89,051",07-01-2015,2015,Musical
HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),HaAshVEVO,1151005421,"30,83,305","2,07,115","67,754",06-03-2015,2015,Musical
twenty one pilots - Ride (Official Video),twenty one pilots,1150215945,"85,42,468","1,93,692","3,01,836",13-05-2015,2015,Musical
Lukas Graham - 7 Years [Official Music Video],Lukas Graham,1148369435,"79,37,376","2,38,754","2,99,009",15-12-2015,2015,Musical
Ed Sheeran - Photograph (Official Music Video),Ed Sheeran,1123381100,"57,26,818","1,56,448","1,62,329",10-05-2015,2015,Musical
OMI - Cheerleader (Felix Jaehn Remix) [Official Video],Ultra Music,1104659319,"61,82,926","2,35,811","1,90,589",08-04-2015,2015,Musical
Wheels On The Bus | Part 8 | Learn with Little Baby Bum | Nursery Rhymes for Babies | ABCs and 123s,Little Baby Bum - Nursery Rhymes & Kids Songs,1101539988,"33,09,190","28,41,006",11,22-07-2015,2015,Non-Musical
Eminem - Lose Yourself [HD],msvogue23,1094637313,"68,97,173","1,93,498","2,45,683",07-08-2015,2015,Musical
GIANT Lightning McQueen Egg Surprise with 100+ Disney Cars Toys,Ryan's World,1069532675,"12,33,992","6,80,494",NULL,01-07-2015,2015,Non-Musical
The Finger Family Song | ChuChu TV Nursery Rhymes & Songs For Children,ChuChu TV Nursery Rhymes & Kids Songs,1036060682,"17,05,758","11,60,373",NULL,20-03-2015,2015,Non-Musical
Chino & Nacho - Me Voy Enamorando ft. Farruko (Remix) (Official Music Video),ChinoNachoVEVO,1009439464,"27,63,115","1,58,977","83,946",07-05-2015,2015,Musical
Maluma - Borro Cassette (Official Video),MalumaVEVO,1002006314,2700000,170000,112000,28-08-2015,2015,Musical
Baby Shark Dance | #babyshark Most Viewed Video | Animal Songs | PINKFONG Songs for Children,Pinkfong! Kids' Songs & Stories,8822872917,"2,87,34,003","1,30,56,967",NULL,17-06-2016,2016,Non-Musical
Johny Johny Yes Papa 👶 THE BEST Song for Children | LooLoo Kids,LooLoo Kids - Nursery Rhymes and Children's Songs,5478980753,"1,56,60,293","1,04,59,894","46,959",08-10-2016,2016,Non-Musical
The Chainsmokers - Closer (Lyric) ft. Halsey,ChainsmokersVEVO,2680013639,"1,20,00,300","5,23,617","3,80,882",29-07-2016,2016,Musical
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],Charlie Puth,2664679460,"1,17,24,453","3,71,320","3,81,616",02-08-2016,2016,Musical
Shakira - Chantaje (Official Video) ft. Maluma,shakiraVEVO,2657016864,"93,74,422","7,64,706","4,00,715",18-11-2016,2016,Musical
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],Clean Bandit,2538833664,"1,15,06,873","5,16,227","2,88,854",21-10-2016,2016,Musical
Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna,CalvinHarrisVEVO,2482519867,"94,92,390","5,23,934","3,09,506",17-06-2016,2016,Musical
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,FifthHarmonyVEVO,2457374037,"1,04,30,789","6,25,942","4,68,025",26-02-2016,2016,Musical
Shawn Mendes - Treat You Better,ShawnMendesVEVO,2095941964,"95,04,960","3,18,801","2,61,809",12-07-2016,2016,Musical
Marshmello - Alone (Official Music Video),Marshmello,2070283252,"2,08,30,515","7,54,549","9,77,731",02-07-2016,2016,Musical
HUGE EGGS Surprise Toys Challenge with Inflatable water slide,Ryan's World,2045218466,"26,85,096","14,75,815",NULL,13-04-2016,2016,Non-Musical
LA VACA LOLA canciones infantiles,toycantando,2007611353,"54,80,535","32,52,810","33,006",13-04-2016,2016,Musical
This Is The Way | Kids Songs | Super Simple Songs,Super Simple Songs - Kids Songs,1945490474,"46,93,092","33,81,872","3,581",08-06-2016,2016,Non-Musical
Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,ArianaGrandeVevo,1913072823,"1,04,66,314","5,67,844","5,15,476",30-08-2016,2016,Musical
The Weeknd - Starboy ft. Daft Punk (Official Video),TheWeekndVEVO,1900879845,"86,81,626","5,28,374","3,72,963",28-09-2016,2016,Musical
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,ChainsmokersVEVO,1711479775,"1,02,94,386","3,26,566","2,76,654",29-04-2016,2016,Musical
Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma,RickyMartinVEVO,1709966146,"37,66,534","3,98,951","1,27,587",22-09-2016,2016,Musical
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],Fueled By Ramen,1687960763,"1,26,02,965","3,31,841","4,64,886",21-06-2016,2016,Musical
CNCO - Reggaetón Lento (Bailemos),CNCOVEVO,1646105625,"58,87,200","5,05,116","3,49,589",07-10-2016,2016,Musical
Sia - Cheap Thrills (Lyric Video) ft. Sean Paul,SiaVEVO,1634758054,"75,48,974","2,89,285","1,81,921",11-02-2016,2016,Musical
